a¤o;area;type_violen;sexo;n_casos;poblacion;tasa_x100h
2012;Puente Aranda;Física;Total general;189;258212;73.2
2012;Usaquén;Física;Total general;460;479830;95.9
2012;Barrios Unidos;Física;Total general;89;234948;37.9
2012;San Cristóbal;Física;Total general;485;409257;118.5
2012;Teusaquillo;Física;Total general;64;147933;43.3
2012;Chapinero;Física;Total general;62;135160;45.9
2012;Distrito;Física;Total general;6616;7571345;87.4
2012;Kennedy;Física;Total general;661;1030623;64.1
2012;Rafael Uribe Uribe;Física;Total general;502;377272;133.1
2012;Usme;Física;Total general;298;400686;74.4
2012;Suba;Física;Total general;716;1094488;65.4
2012;Santa Fe;Física;Total general;136;109955;123.7
2012;La Candelaria;Física;Total general;19;24160;78.6
2012;Bosa;Física;Total general;751;597522;125.7
2012;Engativá;Física;Total general;710;851299;83.4
2012;Ciudad Bolívar;Física;Total general;565;651586;86.7
2012;Los Mártires;Física;Total general;147;98209;149.7
2012;Fontibón;Física;Total general;332;353859;93.8
2012;Usaquén;Intrafamiliar;Total general;2042;479830;425.6
2012;Suba;Intrafamiliar;Total general;2828;1094488;258.4
2012;Kennedy;Intrafamiliar;Total general;2641;1030623;256.3
2012;Ciudad Bolívar;Intrafamiliar;Total general;2887;651586;443.1
2012;Los Mártires;Intrafamiliar;Total general;471;98209;479.6
2012;Bosa;Intrafamiliar;Total general;4274;597522;715.3
2012;Sumapaz;Intrafamiliar;Total general;170;6296;2700.1
2012;Distrito;Intrafamiliar;Total general;28711;7571345;379.2
2012;Fontibón;Intrafamiliar;Total general;972;353859;274.7
2012;Santa Fe;Intrafamiliar;Total general;651;109955;592.1
2012;Usme;Intrafamiliar;Total general;2508;400686;625.9
2012;Barrios Unidos;Intrafamiliar;Total general;378;234948;160.9
2012;Puente Aranda;Intrafamiliar;Total general;640;258212;247.9
2012;Teusaquillo;Intrafamiliar;Total general;177;147933;119.6
2012;San Cristóbal;Intrafamiliar;Total general;2173;409257;531
2012;Engativá;Intrafamiliar;Total general;2867;851299;336.8
2012;La Candelaria;Intrafamiliar;Total general;95;24160;393.2
2012;Chapinero;Intrafamiliar;Total general;256;135160;189.4
2012;Rafael Uribe Uribe;Intrafamiliar;Total general;1862;377272;493.5
2012;Antonio Nariño;Intrafamiliar;Total general;281;108457;259.1
2012;Tunjuelito;Intrafamiliar;Total general;538;201593;266.9
2012;Engativá;Negligencia ;Total general;1590;851299;186.8
2012;Fontibón;Negligencia ;Total general;352;353859;99.5
2012;Usme;Negligencia ;Total general;1552;400686;387.3
2012;Chapinero;Negligencia ;Total general;140;135160;103.6
2012;Teusaquillo;Negligencia ;Total general;65;147933;43.9
2012;Puente Aranda;Negligencia ;Total general;337;258212;130.5
2012;La Candelaria;Negligencia ;Total general;47;24160;194.5
2012;Rafael Uribe Uribe;Negligencia ;Total general;695;377272;184.2
2012;Santa Fe;Negligencia ;Total general;350;109955;318.3
2012;Barrios Unidos;Negligencia ;Total general;161;234948;68.5
2012;Bosa;Negligencia ;Total general;1763;597522;295.1
2012;Suba;Negligencia ;Total general;1703;1094488;155.6
2012;Tunjuelito;Negligencia ;Total general;203;201593;100.7
2012;Distrito;Negligencia ;Total general;14615;7571345;193
2012;Los Mártires;Negligencia ;Total general;231;98209;235.2
2012;Usaquén;Negligencia ;Total general;645;479830;134.4
2012;Antonio Nariño;Negligencia ;Total general;145;108457;133.7
2012;Sumapaz;Negligencia ;Total general;55;6296;873.6
2012;Kennedy;Negligencia ;Total general;1298;1030623;125.9
2012;San Cristóbal;Negligencia ;Total general;1234;409257;301.5
2012;Ciudad Bolívar;Negligencia ;Total general;1718;651586;263.7
2012;Barrios Unidos;Sexual;Total general;39;234948;16.6
2012;La Candelaria;Sexual;Total general;12;24160;49.7
2012;Santa Fe;Sexual;Total general;72;109955;65.5
2012;Usme;Sexual;Total general;246;400686;61.4
2012;Fontibón;Sexual;Total general;199;353859;56.2
2012;Usaquén;Sexual;Total general;161;479830;33.6
2012;Rafael Uribe Uribe;Sexual;Total general;281;377272;74.5
2012;Tunjuelito;Sexual;Total general;71;201593;35.2
2012;Chapinero;Sexual;Total general;26;135160;19.2
2012;Engativá;Sexual;Total general;302;851299;35.5
2012;Teusaquillo;Sexual;Total general;22;147933;14.9
2012;Kennedy;Sexual;Total general;437;1030623;42.4
2012;Puente Aranda;Sexual;Total general;124;258212;48
2012;Bosa;Sexual;Total general;588;597522;98.4
2012;Distrito;Sexual;Total general;3563;7571345;47.1
2012;Los Mártires;Sexual;Total general;53;98209;54
2012;Suba;Sexual;Total general;287;1094488;26.2
2012;Sumapaz;Sexual;Total general;3;6296;47.6
2012;Ciudad Bolívar;Sexual;Total general;287;651586;44
2012;San Cristóbal;Sexual;Total general;238;409257;58.2
2012;Antonio Nariño;Sexual;Total general;39;108457;36
2012;La Candelaria;Abandono;Mujer;8;11434;70
2012;Puente Aranda;Abandono;Mujer;32;132268;24.2
2012;Sumapaz;Abandono;Mujer;11;3028;363.3
2012;Chapinero;Abandono;Mujer;14;72365;19.3
2012;Rafael Uribe Uribe;Abandono;Mujer;69;192321;35.9
2012;Usaquén;Abandono;Mujer;62;257499;24.1
2012;Engativá;Abandono;Mujer;135;444702;30.4
2012;Distrito;Abandono;Mujer;1221;3917477;31.2
2012;Suba;Abandono;Mujer;125;575528;21.7
2012;Fontibón;Abandono;Mujer;68;186326;36.5
2012;Antonio Nariño;Abandono;Mujer;13;55877;23.3
2012;Barrios Unidos;Abandono;Mujer;22;122245;18
2012;Bosa;Abandono;Mujer;168;305346;55
2012;Santa Fe;Abandono;Mujer;33;54802;60.2
2012;Los Mártires;Abandono;Mujer;21;48932;42.9
2012;Ciudad Bolívar;Abandono;Mujer;107;332577;32.2
2012;Kennedy;Abandono;Mujer;96;528336;18.2
2012;Teusaquillo;Abandono;Mujer;8;79389;10.1
2012;Usme;Abandono;Mujer;71;202775;35
2012;Tunjuelito;Abandono;Mujer;12;102036;11.8
2012;San Cristóbal;Abandono;Mujer;117;209691;55.8
2012;Antonio Nariño;Económica;Mujer;7;55877;12.5
2012;Ciudad Bolívar;Económica;Mujer;71;332577;21.3
2012;Usme;Económica;Mujer;58;202775;28.6
2012;La Candelaria;Económica;Mujer;7;11434;61.2
2012;Sumapaz;Económica;Mujer;18;3028;594.5
2012;Los Mártires;Económica;Mujer;21;48932;42.9
2012;Teusaquillo;Económica;Mujer;8;79389;10.1
2012;Distrito;Económica;Mujer;1258;3917477;32.1
2012;Suba;Económica;Mujer;143;575528;24.8
2012;Barrios Unidos;Económica;Mujer;20;122245;16.4
2012;Fontibón;Económica;Mujer;43;186326;23.1
2012;Santa Fe;Económica;Mujer;24;54802;43.8
2012;Bosa;Económica;Mujer;137;305346;44.9
2012;Engativá;Económica;Mujer;218;444702;49
2012;San Cristóbal;Económica;Mujer;33;209691;15.7
2012;Tunjuelito;Económica;Mujer;6;102036;5.9
2012;Rafael Uribe Uribe;Económica;Mujer;69;192321;35.9
2012;Usaquén;Económica;Mujer;226;257499;87.8
2012;Puente Aranda;Económica;Mujer;9;132268;6.8
2012;Chapinero;Económica;Mujer;27;72365;37.3
2012;Kennedy;Económica;Mujer;85;528336;16.1
2012;Ciudad Bolívar;Emocional;Mujer;1745;332577;524.7
2012;Teusaquillo;Emocional;Mujer;120;79389;151.2
2012;Kennedy;Emocional;Mujer;1738;528336;329
2012;San Cristóbal;Emocional;Mujer;1436;209691;684.8
2012;Bosa;Emocional;Mujer;2653;305346;868.9
2012;Usme;Emocional;Mujer;1688;202775;832.4
2012;Chapinero;Emocional;Mujer;180;72365;248.7
2012;Sumapaz;Emocional;Mujer;103;3028;3401.6
2012;Usaquén;Emocional;Mujer;1264;257499;490.9
2012;Santa Fe;Emocional;Mujer;450;54802;821.1
2012;Engativá;Emocional;Mujer;1764;444702;396.7
2012;Barrios Unidos;Emocional;Mujer;262;122245;214.3
2012;Fontibón;Emocional;Mujer;637;186326;341.9
2012;Puente Aranda;Emocional;Mujer;407;132268;307.7
2012;Distrito;Emocional;Mujer;18969;3917477;484.2
2012;Antonio Nariño;Emocional;Mujer;190;55877;340
2012;Los Mártires;Emocional;Mujer;315;48932;643.8
2012;Tunjuelito;Emocional;Mujer;334;102036;327.3
2012;La Candelaria;Emocional;Mujer;65;11434;568.5
2012;Suba;Emocional;Mujer;1884;575528;327.4
2012;Rafael Uribe Uribe;Emocional;Mujer;1262;192321;656.2
2012;Antonio Nariño;Física;Mujer;41;55877;73.4
2012;Distrito;Física;Mujer;4507;3917477;115
2012;Kennedy;Física;Mujer;450;528336;85.2
2012;Puente Aranda;Física;Mujer;127;132268;96
2012;Bosa;Física;Mujer;528;305346;172.9
2012;Suba;Física;Mujer;484;575528;84.1
2012;Engativá;Física;Mujer;484;444702;108.8
2012;Chapinero;Física;Mujer;50;72365;69.1
2012;Teusaquillo;Física;Mujer;46;79389;57.9
2012;Fontibón;Física;Mujer;225;186326;120.8
2012;Usaquén;Física;Mujer;297;257499;115.3
2012;Tunjuelito;Física;Mujer;119;102036;116.6
2012;La Candelaria;Física;Mujer;14;11434;122.4
2012;Santa Fe;Física;Mujer;106;54802;193.4
2012;San Cristóbal;Física;Mujer;348;209691;166
2012;Barrios Unidos;Física;Mujer;71;122245;58.1
2012;Los Mártires;Física;Mujer;107;48932;218.7
2012;Usme;Física;Mujer;203;202775;100.1
2012;Ciudad Bolívar;Física;Mujer;358;332577;107.6
2012;Sumapaz;Física;Mujer;12;3028;396.3
2012;Rafael Uribe Uribe;Física;Mujer;329;192321;171.1
2012;La Candelaria;Intrafamiliar;Mujer;65;11434;568.5
2012;Tunjuelito;Intrafamiliar;Mujer;334;102036;327.3
2012;San Cristóbal;Intrafamiliar;Mujer;1436;209691;684.8
2012;Fontibón;Intrafamiliar;Mujer;637;186326;341.9
2012;Chapinero;Intrafamiliar;Mujer;180;72365;248.7
2012;Sumapaz;Intrafamiliar;Mujer;103;3028;3401.6
2012;Suba;Intrafamiliar;Mujer;1884;575528;327.4
2012;Rafael Uribe Uribe;Intrafamiliar;Mujer;1262;192321;656.2
2012;Engativá;Intrafamiliar;Mujer;1764;444702;396.7
2012;Teusaquillo;Intrafamiliar;Mujer;120;79389;151.2
2012;Usaquén;Intrafamiliar;Mujer;1264;257499;490.9
2012;Bosa;Intrafamiliar;Mujer;2653;305346;868.9
2012;Antonio Nariño;Intrafamiliar;Mujer;190;55877;340
2012;Santa Fe;Intrafamiliar;Mujer;450;54802;821.1
2012;Kennedy;Intrafamiliar;Mujer;1738;528336;329
2012;Usme;Intrafamiliar;Mujer;1688;202775;832.4
2012;Puente Aranda;Intrafamiliar;Mujer;407;132268;307.7
2012;Los Mártires;Intrafamiliar;Mujer;315;48932;643.8
2012;Barrios Unidos;Intrafamiliar;Mujer;262;122245;214.3
2012;Ciudad Bolívar;Intrafamiliar;Mujer;1745;332577;524.7
2012;Distrito;Intrafamiliar;Mujer;18969;3917477;484.2
2012;Distrito;Negligencia ;Mujer;8548;3917477;218.2
2012;Antonio Nariño;Negligencia ;Mujer;88;55877;157.5
2012;Usaquén;Negligencia ;Mujer;319;257499;123.9
2012;Tunjuelito;Negligencia ;Mujer;117;102036;114.7
2012;Bosa;Negligencia ;Mujer;911;305346;298.4
2012;Rafael Uribe Uribe;Negligencia ;Mujer;417;192321;216.8
2012;Barrios Unidos;Negligencia ;Mujer;109;122245;89.2
2012;Santa Fe;Negligencia ;Mujer;207;54802;377.7
2012;Engativá;Negligencia ;Mujer;902;444702;202.8
2012;Teusaquillo;Negligencia ;Mujer;36;79389;45.3
2012;Sumapaz;Negligencia ;Mujer;32;3028;1056.8
2012;Puente Aranda;Negligencia ;Mujer;189;132268;142.9
2012;San Cristóbal;Negligencia ;Mujer;713;209691;340
2012;Suba;Negligencia ;Mujer;1095;575528;190.3
2012;Usme;Negligencia ;Mujer;973;202775;479.8
2012;La Candelaria;Negligencia ;Mujer;26;11434;227.4
2012;Kennedy;Negligencia ;Mujer;776;528336;146.9
2012;Chapinero;Negligencia ;Mujer;93;72365;128.5
2012;Ciudad Bolívar;Negligencia ;Mujer;971;332577;292
2012;Fontibón;Negligencia ;Mujer;199;186326;106.8
2012;Los Mártires;Negligencia ;Mujer;136;48932;277.9
2012;Kennedy;Sexual;Mujer;330;528336;62.5
2012;Fontibón;Sexual;Mujer;150;186326;80.5
2012;Distrito;Sexual;Mujer;2752;3917477;70.2
2012;San Cristóbal;Sexual;Mujer;192;209691;91.6
2012;Ciudad Bolívar;Sexual;Mujer;206;332577;61.9
2012;Santa Fe;Sexual;Mujer;57;54802;104
2012;Suba;Sexual;Mujer;221;575528;38.4
2012;Chapinero;Sexual;Mujer;21;72365;29
2012;Tunjuelito;Sexual;Mujer;53;102036;51.9
2012;Barrios Unidos;Sexual;Mujer;30;122245;24.5
2012;Los Mártires;Sexual;Mujer;42;48932;85.8
2012;Teusaquillo;Sexual;Mujer;19;79389;23.9
2012;Bosa;Sexual;Mujer;453;305346;148.4
2012;Sumapaz;Sexual;Mujer;0;3028;0
2012;Rafael Uribe Uribe;Sexual;Mujer;228;192321;118.6
2012;Engativá;Sexual;Mujer;241;444702;54.2
2012;Usme;Sexual;Mujer;198;202775;97.6
2012;Antonio Nariño;Sexual;Mujer;33;55877;59.1
2012;Puente Aranda;Sexual;Mujer;87;132268;65.8
2012;Usaquén;Sexual;Mujer;125;257499;48.5
2012;La Candelaria;Sexual;Mujer;10;11434;87.5
2012;Sumapaz;Abandono;Hombre ;9;3268;275.4
2012;Ciudad Bolívar;Abandono;Hombre ;105;319009;32.9
2012;Suba;Abandono;Hombre ;87;518960;16.8
2012;Usme;Abandono;Hombre ;71;197911;35.9
2012;Fontibón;Abandono;Hombre ;41;167533;24.5
2012;Tunjuelito;Abandono;Hombre ;7;99557;7
2012;Distrito;Abandono;Hombre ;1015;3653868;27.8
2012;Bosa;Abandono;Hombre ;151;292176;51.7
2012;Engativá;Abandono;Hombre ;169;406597;41.6
2012;Antonio Nariño;Abandono;Hombre ;6;52580;11.4
2012;Los Mártires;Abandono;Hombre ;14;49277;28.4
2012;Puente Aranda;Abandono;Hombre ;20;125944;15.9
2012;Barrios Unidos;Abandono;Hombre ;24;112703;21.3
2012;La Candelaria;Abandono;Hombre ;5;12726;39.3
2012;Usaquén;Abandono;Hombre ;67;222331;30.1
2012;Teusaquillo;Abandono;Hombre ;11;68544;16
2012;Chapinero;Abandono;Hombre ;8;62795;12.7
2012;Santa Fe;Abandono;Hombre ;15;55153;27.2
2012;Kennedy;Abandono;Hombre ;56;502287;11.1
2012;San Cristóbal;Abandono;Hombre ;78;199566;39.1
2012;Rafael Uribe Uribe;Abandono;Hombre ;55;184951;29.7
2012;Santa Fe;Económica;Hombre ;7;55153;12.7
2012;Antonio Nariño;Económica;Hombre ;4;52580;7.6
2012;Sumapaz;Económica;Hombre ;8;3268;244.8
2012;Puente Aranda;Económica;Hombre ;4;125944;3.2
2012;Chapinero;Económica;Hombre ;8;62795;12.7
2012;Rafael Uribe Uribe;Económica;Hombre ;15;184951;8.1
2012;Fontibón;Económica;Hombre ;21;167533;12.5
2012;Usme;Económica;Hombre ;13;197911;6.6
2012;Engativá;Económica;Hombre ;189;406597;46.5
2012;Tunjuelito;Económica;Hombre ;3;99557;3
2012;Bosa;Económica;Hombre ;60;292176;20.5
2012;Usaquén;Económica;Hombre ;104;222331;46.8
2012;San Cristóbal;Económica;Hombre ;13;199566;6.5
2012;Kennedy;Económica;Hombre ;20;502287;4
2012;Los Mártires;Económica;Hombre ;6;49277;12.2
2012;Suba;Económica;Hombre ;67;518960;12.9
2012;La Candelaria;Económica;Hombre ;2;12726;15.7
2012;Ciudad Bolívar;Económica;Hombre ;31;319009;9.7
2012;Distrito;Económica;Hombre ;600;3653868;16.4
2012;Barrios Unidos;Económica;Hombre ;10;112703;8.9
2012;Teusaquillo;Económica;Hombre ;7;68544;10.2
2012;Santa Fe;Emocional;Hombre ;201;55153;364.4
2012;Puente Aranda;Emocional;Hombre ;233;125944;185
2012;Antonio Nariño;Emocional;Hombre ;91;52580;173.1
2012;Fontibón;Emocional;Hombre ;335;167533;200
2012;Kennedy;Emocional;Hombre ;903;502287;179.8
2012;Ciudad Bolívar;Emocional;Hombre ;1142;319009;358
2012;Los Mártires;Emocional;Hombre ;156;49277;316.6
2012;Teusaquillo;Emocional;Hombre ;57;68544;83.2
2012;Usme;Emocional;Hombre ;820;197911;414.3
2012;Engativá;Emocional;Hombre ;1103;406597;271.3
2012;Distrito;Emocional;Hombre ;10410;3653868;284.9
2012;La Candelaria;Emocional;Hombre ;30;12726;235.7
2012;Barrios Unidos;Emocional;Hombre ;116;112703;102.9
2012;Usaquén;Emocional;Hombre ;778;222331;349.9
2012;San Cristóbal;Emocional;Hombre ;737;199566;369.3
2012;Tunjuelito;Emocional;Hombre ;204;99557;204.9
2012;Chapinero;Emocional;Hombre ;76;62795;121
2012;Suba;Emocional;Hombre ;944;518960;181.9
2012;Sumapaz;Emocional;Hombre ;67;3268;2050.2
2012;Bosa;Emocional;Hombre ;1621;292176;554.8
2012;Rafael Uribe Uribe;Emocional;Hombre ;600;184951;324.4
2012;Antonio Nariño;Física;Hombre ;18;52580;34.2
2012;Fontibón;Física;Hombre ;107;167533;63.9
2012;Los Mártires;Física;Hombre ;40;49277;81.2
2012;Distrito;Física;Hombre ;2109;3653868;57.7
2012;Bosa;Física;Hombre ;223;292176;76.3
2012;Barrios Unidos;Física;Hombre ;18;112703;16
2012;Tunjuelito;Física;Hombre ;76;99557;76.3
2012;San Cristóbal;Física;Hombre ;137;199566;68.6
2012;Kennedy;Física;Hombre ;211;502287;42
2012;Puente Aranda;Física;Hombre ;62;125944;49.2
2012;Santa Fe;Física;Hombre ;30;55153;54.4
2012;Usaquén;Física;Hombre ;163;222331;73.3
2012;La Candelaria;Física;Hombre ;5;12726;39.3
2012;Teusaquillo;Física;Hombre ;18;68544;26.3
2012;Sumapaz;Física;Hombre ;12;3268;367.2
2012;Usme;Física;Hombre ;95;197911;48
2012;Engativá;Física;Hombre ;226;406597;55.6
2012;Ciudad Bolívar;Física;Hombre ;207;319009;64.9
2012;Chapinero;Física;Hombre ;12;62795;19.1
2012;Rafael Uribe Uribe;Física;Hombre ;173;184951;93.5
2012;Suba;Física;Hombre ;232;518960;44.7
2012;Engativá;Intrafamiliar;Hombre ;1103;406597;271.3
2012;Fontibón;Intrafamiliar;Hombre ;335;167533;200
2012;Distrito;Intrafamiliar;Hombre ;10410;3653868;284.9
2012;Santa Fe;Intrafamiliar;Hombre ;201;55153;364.4
2012;Teusaquillo;Intrafamiliar;Hombre ;57;68544;83.2
2012;Sumapaz;Intrafamiliar;Hombre ;67;3268;2050.2
2012;La Candelaria;Intrafamiliar;Hombre ;30;12726;235.7
2012;Rafael Uribe Uribe;Intrafamiliar;Hombre ;600;184951;324.4
2012;Puente Aranda;Intrafamiliar;Hombre ;233;125944;185
2012;Kennedy;Intrafamiliar;Hombre ;903;502287;179.8
2012;Usaquén;Intrafamiliar;Hombre ;778;222331;349.9
2012;Bosa;Intrafamiliar;Hombre ;1621;292176;554.8
2012;Tunjuelito;Intrafamiliar;Hombre ;204;99557;204.9
2012;Ciudad Bolívar;Intrafamiliar;Hombre ;1142;319009;358
2012;San Cristóbal;Intrafamiliar;Hombre ;737;199566;369.3
2012;Barrios Unidos;Intrafamiliar;Hombre ;116;112703;102.9
2012;Usme;Intrafamiliar;Hombre ;820;197911;414.3
2012;Chapinero;Intrafamiliar;Hombre ;76;62795;121
2012;Antonio Nariño;Intrafamiliar;Hombre ;91;52580;173.1
2012;Suba;Intrafamiliar;Hombre ;944;518960;181.9
2012;Los Mártires;Intrafamiliar;Hombre ;156;49277;316.6
2012;Fontibón;Negligencia ;Hombre ;153;167533;91.3
2012;Suba;Negligencia ;Hombre ;608;518960;117.2
2012;Bosa;Negligencia ;Hombre ;852;292176;291.6
2012;Barrios Unidos;Negligencia ;Hombre ;52;112703;46.1
2012;Rafael Uribe Uribe;Negligencia ;Hombre ;278;184951;150.3
2012;Santa Fe;Negligencia ;Hombre ;143;55153;259.3
2012;Kennedy;Negligencia ;Hombre ;522;502287;103.9
2012;Sumapaz;Negligencia ;Hombre ;23;3268;703.8
2012;Engativá;Negligencia ;Hombre ;688;406597;169.2
2012;Usme;Negligencia ;Hombre ;579;197911;292.6
2012;Tunjuelito;Negligencia ;Hombre ;86;99557;86.4
2012;Los Mártires;Negligencia ;Hombre ;95;49277;192.8
2012;Puente Aranda;Negligencia ;Hombre ;148;125944;117.5
2012;Teusaquillo;Negligencia ;Hombre ;29;68544;42.3
2012;San Cristóbal;Negligencia ;Hombre ;521;199566;261.1
2012;Distrito;Negligencia ;Hombre ;6067;3653868;166
2012;Antonio Nariño;Negligencia ;Hombre ;57;52580;108.4
2012;Chapinero;Negligencia ;Hombre ;47;62795;74.8
2012;Usaquén;Negligencia ;Hombre ;326;222331;146.6
2012;La Candelaria;Negligencia ;Hombre ;21;12726;165
2012;Ciudad Bolívar;Negligencia ;Hombre ;747;319009;234.2
2012;Engativá;Sexual;Hombre ;61;406597;15
2012;Usme;Sexual;Hombre ;48;197911;24.3
2012;Distrito;Sexual;Hombre ;811;3653868;22.2
2012;Kennedy;Sexual;Hombre ;107;502287;21.3
2012;Sumapaz;Sexual;Hombre ;3;3268;91.8
2012;Santa Fe;Sexual;Hombre ;15;55153;27.2
2012;Tunjuelito;Sexual;Hombre ;18;99557;18.1
2012;Usaquén;Sexual;Hombre ;36;222331;16.2
2012;Fontibón;Sexual;Hombre ;49;167533;29.2
2012;Antonio Nariño;Sexual;Hombre ;6;52580;11.4
2012;Los Mártires;Sexual;Hombre ;11;49277;22.3
2012;Teusaquillo;Sexual;Hombre ;3;68544;4.4
2012;La Candelaria;Sexual;Hombre ;2;12726;15.7
2012;Suba;Sexual;Hombre ;66;518960;12.7
2012;Puente Aranda;Sexual;Hombre ;37;125944;29.4
2012;Chapinero;Sexual;Hombre ;5;62795;8
2012;San Cristóbal;Sexual;Hombre ;46;199566;23.1
2012;Bosa;Sexual;Hombre ;135;292176;46.2
2012;Rafael Uribe Uribe;Sexual;Hombre ;53;184951;28.7
2012;Barrios Unidos;Sexual;Hombre ;9;112703;8
2012;Ciudad Bolívar;Sexual;Hombre ;81;319009;25.4
2013;Usaquén;Abandono;Total general;87;484764;17.9
2013;Suba;Abandono;Total general;171;1120342;15.3
2013;Los Mártires;Abandono;Total general;28;98450;28.4
2013;La Candelaria;Abandono;Total general;6;24160;24.8
2013;Sumapaz;Abandono;Total general;16;6340;252.4
2013;Puente Aranda;Abandono;Total general;46;258102;17.8
2013;Engativá;Abandono;Total general;185;858935;21.5
2013;Usme;Abandono;Total general;191;415898;45.9
2013;Barrios Unidos;Abandono;Total general;43;236433;18.2
2013;Antonio Nariño;Abandono;Total general;17;108607;15.7
2013;Rafael Uribe Uribe;Abandono;Total general;120;376767;31.8
2013;Bosa;Abandono;Total general;239;612754;39
2013;Fontibón;Abandono;Total general;76;362167;21
2013;Kennedy;Abandono;Total general;170;1042080;16.3
2013;Chapinero;Abandono;Total general;19;136352;13.9
2013;Distrito;Abandono;Total general;1918;7674366;25
2013;Ciudad Bolívar;Abandono;Total general;141;663397;21.3
2013;San Cristóbal;Abandono;Total general;290;408477;71
2013;Tunjuelito;Abandono;Total general;16;201230;8
2013;Teusaquillo;Abandono;Total general;17;149166;11.4
2013;Santa Fe;Abandono;Total general;40;109945;36.4
2013;Rafael Uribe Uribe;Económica;Total general;78;376767;20.7
2013;Los Mártires;Económica;Total general;26;98450;26.4
2013;San Cristóbal;Económica;Total general;101;408477;24.7
2013;Antonio Nariño;Económica;Total general;14;108607;12.9
2013;Sumapaz;Económica;Total general;6;6340;94.6
2013;Bosa;Económica;Total general;173;612754;28.2
2013;Usme;Económica;Total general;58;415898;13.9
2013;Chapinero;Económica;Total general;35;136352;25.7
2013;La Candelaria;Económica;Total general;4;24160;16.6
2013;Kennedy;Económica;Total general;78;1042080;7.5
2013;Ciudad Bolívar;Económica;Total general;56;663397;8.4
