year;localidad;tipo_de_violencia;sexo;no_casos;poblacion;tasa_por_100000
2015;suba;Intrafamiliar;Total general;3282.0;1174736;279.4
2015;barrios unidos;Intrafamiliar;Total general;610.0;240960;253.2
2015;teusaquillo;Intrafamiliar;Total general;283.0;151092;187.3
2015;los martires;Intrafamiliar;Total general;495.0;98758;501.2
2015;antonio narino;Intrafamiliar;Total general;344.0;108941;315.8
2015;puente aranda;Intrafamiliar;Total general;783.0;258414;303.0
2015;la candelaria;Intrafamiliar;Total general;125.0;24096;518.8
2015;rafael uribe uribe;Intrafamiliar;Total general;2129.0;375107;567.6
2015;ciudad bolivar;Intrafamiliar;Total general;4222.0;687923;613.7
2015;sumapaz;Intrafamiliar;Total general;200.0;6460;3096.0
2015;distrito;Intrafamiliar;Total general;35458.0;7878783;450.0
2016;usaquen;Intrafamiliar;Total general;2366.0;472908;500.3
2016;chapinero;Intrafamiliar;Total general;309.0;126951;243.4
2016;santa fe;Intrafamiliar;Total general;524.0;96534;542.8
2016;san cristobal;Intrafamiliar;Total general;2039.0;396383;514.4
2016;usme;Intrafamiliar;Total general;2468.0;337152;732.0
2016;tunjuelito;Intrafamiliar;Total general;539.0;189522;284.4
2016;bosa;Intrafamiliar;Total general;4369.0;709039;616.2
2016;kennedy;Intrafamiliar;Total general;3410.0;1187315;287.2
2016;fontibon;Intrafamiliar;Total general;1213.0;403519;300.6
2016;engativa;Intrafamiliar;Total general;2003.0;873243;229.4
2016;suba;Intrafamiliar;Total general;2818.0;1250734;225.3
2016;barrios unidos;Intrafamiliar;Total general;465.0;263883;176.2
2016;teusaquillo;Intrafamiliar;Total general;253.0;140767;179.7
2016;los martires;Intrafamiliar;Total general;411.0;94130;436.6
2016;antonio narino;Intrafamiliar;Total general;290.0;109277;265.4
2016;puente aranda;Intrafamiliar;Total general;680.0;225220;301.9
2016;la candelaria;Intrafamiliar;Total general;105.0;22633;463.9
2016;rafael uribe uribe;Intrafamiliar;Total general;1973.0;353761;557.7
2016;ciudad bolivar;Intrafamiliar;Total general;4527.0;719700;629.0
2016;sumapaz;Intrafamiliar;Total general;135.0;7330;1841.7
2016;distrito;Intrafamiliar;Total general;30897.0;7980001;387.2
2017;usaquen;Intrafamiliar;Total general;2007.0;474186;423.3
2017;chapinero;Intrafamiliar;Total general;360.0;126591;284.4
2017;santa fe;Intrafamiliar;Total general;631.0;95201;662.8
2017;san cristobal;Intrafamiliar;Total general;1994.0;394358;505.6
2017;usme;Intrafamiliar;Total general;2365.0;340101;695.4
2017;tunjuelito;Intrafamiliar;Total general;836.0;187971;444.7
2017;bosa;Intrafamiliar;Total general;3224.0;731047;441.0
2017;kennedy;Intrafamiliar;Total general;2860.0;1208980;236.6
2017;fontibon;Intrafamiliar;Total general;931.0;413734;225.0
2017;engativa;Intrafamiliar;Total general;2113.0;878434;240.5
2017;suba;Intrafamiliar;Total general;2651.0;1282978;206.6
2017;barrios unidos;Intrafamiliar;Total general;423.0;267106;158.4
2017;teusaquillo;Intrafamiliar;Total general;245.0;140473;174.4
2017;los martires;Intrafamiliar;Total general;501.0;93716;534.6
2017;antonio narino;Intrafamiliar;Total general;294.0;109254;269.1
2017;puente aranda;Intrafamiliar;Total general;628.0;221906;283.0
2017;la candelaria;Intrafamiliar;Total general;100.0;22438;445.7
2017;rafael uribe uribe;Intrafamiliar;Total general;1923.0;350944;548.0
2017;ciudad bolivar;Intrafamiliar;Total general;4786.0;733859;652.2
2017;sumapaz;Intrafamiliar;Total general;66.0;7457;885.1
2017;distrito;Intrafamiliar;Total general;28938.0;8080734;358.1
2018;usaquen;Intrafamiliar;Total general;1398.0;475275;294.1
2018;chapinero;Intrafamiliar;Total general;401.0;126192;317.8
2018;santa fe;Intrafamiliar;Total general;713.0;93857;759.7
2018;san cristobal;Intrafamiliar;Total general;2177.0;392220;555.0
2018;usme;Intrafamiliar;Total general;2504.0;342940;730.2
2018;tunjuelito;Intrafamiliar;Total general;821.0;186383;440.5
2018;bosa;Intrafamiliar;Total general;3488.0;753496;462.9
2018;kennedy;Intrafamiliar;Total general;3234.0;1230539;262.8
2018;fontibon;Intrafamiliar;Total general;857.0;424038;202.1
2018;engativa;Intrafamiliar;Total general;2180.0;883319;246.8
2018;suba;Intrafamiliar;Total general;3173.0;1315509;241.2
2018;barrios unidos;Intrafamiliar;Total general;428.0;270280;158.4
2018;teusaquillo;Intrafamiliar;Total general;326.0;140135;232.6
2018;los martires;Intrafamiliar;Total general;504.0;93248;540.5
2018;antonio narino;Intrafamiliar;Total general;344.0;109199;315.0
2018;puente aranda;Intrafamiliar;Total general;687.0;218555;314.3
2018;la candelaria;Intrafamiliar;Total general;109.0;22243;490.0
2018;rafael uribe uribe;Intrafamiliar;Total general;2199.0;348023;631.9
2018;ciudad bolivar;Intrafamiliar;Total general;5011.0;748012;669.9
2018;sumapaz;Intrafamiliar;Total general;111.0;7584;1463.6
2018;distrito;Intrafamiliar;Total general;30665.0;8181047;374.8
2019;usaquen;Intrafamiliar;Total general;1130.0;476184;237.3
2019;chapinero;Intrafamiliar;Total general;380.0;125750;302.2
2019;santa fe;Intrafamiliar;Total general;862.0;92490;932.0
2019;san cristobal;Intrafamiliar;Total general;2899.0;389945;743.4
2019;usme;Intrafamiliar;Total general;2367.0;345689;684.7
2019;tunjuelito;Intrafamiliar;Total general;881.0;184743;476.9
2019;bosa;Intrafamiliar;Total general;4149.0;776363;534.4
2019;kennedy;Intrafamiliar;Total general;4163.0;1252014;332.5
2019;fontibon;Intrafamiliar;Total general;989.0;434446;227.6
2019;engativa;Intrafamiliar;Total general;2232.0;887886;251.4
2019;suba;Intrafamiliar;Total general;3013.0;1348372;223.5
2019;barrios unidos;Intrafamiliar;Total general;352.0;273396;128.8
2019;teusaquillo;Intrafamiliar;Total general;403.0;139776;288.3
2019;los martires;Intrafamiliar;Total general;715.0;92755;770.8
2019;antonio narino;Intrafamiliar;Total general;436.0;109104;399.6
2019;puente aranda;Intrafamiliar;Total general;909.0;215191;422.4
2019;la candelaria;Intrafamiliar;Total general;136.0;22041;617.0
2019;rafael uribe uribe;Intrafamiliar;Total general;2466.0;344990;714.8
2019;ciudad bolivar;Intrafamiliar;Total general;4330.0;762184;568.1
2019;sumapaz;Intrafamiliar;Total general;65.0;7711;843.0
2019;distrito;Intrafamiliar;Total general;32877.0;8281030;397.0
2020;usaquen;Intrafamiliar;Total general;951.0;476931;199.4
2020;chapinero;Intrafamiliar;Total general;255.0;125294;203.5
2020;santa fe;Intrafamiliar;Total general;542.0;91111;594.9
2020;san cristobal;Intrafamiliar;Total general;1619.0;387560;417.7
2020;usme;Intrafamiliar;Total general;2192.0;348332;629.3
2020;tunjuelito;Intrafamiliar;Total general;851.0;183067;464.9
2020;bosa;Intrafamiliar;Total general;3512.0;799660;439.2
2020;kennedy;Intrafamiliar;Total general;3531.0;1273390;277.3
2020;fontibon;Intrafamiliar;Total general;994.0;444951;223.4
2020;engativa;Intrafamiliar;Total general;1724.0;892169;193.2
2020;suba;Intrafamiliar;Total general;2460.0;1381597;178.1
2020;barrios unidos;Intrafamiliar;Total general;306.0;276453;110.7
2020;teusaquillo;Intrafamiliar;Total general;315.0;139369;226.0
2020;los martires;Intrafamiliar;Total general;369.0;92234;400.1
2020;antonio narino;Intrafamiliar;Total general;283.0;108976;259.7
2020;puente aranda;Intrafamiliar;Total general;678.0;211802;320.1
2020;la candelaria;Intrafamiliar;Total general;92.0;21830;421.4
2020;rafael uribe uribe;Intrafamiliar;Total general;1471.0;341886;430.3
2020;ciudad bolivar;Intrafamiliar;Total general;3666.0;776351;472.2
2020;sumapaz;Intrafamiliar;Total general;79.0;7838;1007.9
2020;distrito;Intrafamiliar;Total general;25892.0;8380801;308.9
2012;usaquen;Intrafamiliar;Mujer;1264.0;257499;490.9
2012;chapinero;Intrafamiliar;Mujer;180.0;72365;248.7
2012;santa fe;Intrafamiliar;Mujer;450.0;54802;821.1
2012;san cristobal;Intrafamiliar;Mujer;1436.0;209691;684.8
2012;usme;Intrafamiliar;Mujer;1688.0;202775;832.4
2012;tunjuelito;Intrafamiliar;Mujer;334.0;102036;327.3
2012;bosa;Intrafamiliar;Mujer;2653.0;305346;868.9
2012;kennedy;Intrafamiliar;Mujer;1738.0;528336;329.0
2012;fontibon;Intrafamiliar;Mujer;637.0;186326;341.9
2012;engativa;Intrafamiliar;Mujer;1764.0;444702;396.7
2012;suba;Intrafamiliar;Mujer;1884.0;575528;327.4
2012;barrios unidos;Intrafamiliar;Mujer;262.0;122245;214.3
2012;teusaquillo;Intrafamiliar;Mujer;120.0;79389;151.2
2012;los martires;Intrafamiliar;Mujer;315.0;48932;643.8
2012;antonio narino;Intrafamiliar;Mujer;190.0;55877;340.0
2012;puente aranda;Intrafamiliar;Mujer;407.0;132268;307.7
2012;la candelaria;Intrafamiliar;Mujer;65.0;11434;568.5
2012;rafael uribe uribe;Intrafamiliar;Mujer;1262.0;192321;656.2
2012;ciudad bolivar;Intrafamiliar;Mujer;1745.0;332577;524.7
2012;sumapaz;Intrafamiliar;Mujer;103.0;3028;3401.6
2012;distrito;Intrafamiliar;Mujer;18969.0;3917477;484.2
2013;usaquen;Intrafamiliar;Mujer;1620.0;259965;623.2
2013;chapinero;Intrafamiliar;Mujer;218.0;72827;299.3
2013;santa fe;Intrafamiliar;Mujer;359.0;54763;655.6
2013;san cristobal;Intrafamiliar;Mujer;1738.0;209171;830.9
2013;usme;Intrafamiliar;Mujer;1917.0;210312;911.5
2013;tunjuelito;Intrafamiliar;Mujer;446.0;101726;438.4
2013;bosa;Intrafamiliar;Mujer;3141.0;313146;1003.0
2013;kennedy;Intrafamiliar;Mujer;1915.0;533792;358.8
2013;fontibon;Intrafamiliar;Mujer;654.0;190687;343.0
2013;engativa;Intrafamiliar;Mujer;1886.0;448349;420.7
2013;suba;Intrafamiliar;Mujer;1993.0;588730;338.5
2013;barrios unidos;Intrafamiliar;Mujer;310.0;123007;252.0
2013;teusaquillo;Intrafamiliar;Mujer;134.0;79926;167.7
2013;los martires;Intrafamiliar;Mujer;307.0;48930;627.4
2013;antonio narino;Intrafamiliar;Mujer;204.0;55868;365.1
2013;puente aranda;Intrafamiliar;Mujer;391.0;132077;296.0
2013;la candelaria;Intrafamiliar;Mujer;56.0;11401;491.2
2013;rafael uribe uribe;Intrafamiliar;Mujer;1077.0;191833;561.4
2013;ciudad bolivar;Intrafamiliar;Mujer;1683.0;338640;497.0
2013;sumapaz;Intrafamiliar;Mujer;114.0;3051;3736.5
2013;distrito;Intrafamiliar;Mujer;20163.0;3968201;508.1
2014;usaquen;Intrafamiliar;Mujer;1847.0;262455;703.7
2014;chapinero;Intrafamiliar;Mujer;244.0;73117;333.7
2014;santa fe;Intrafamiliar;Mujer;413.0;54687;755.2
2014;san cristobal;Intrafamiliar;Mujer;2134.0;208492;1023.5
2014;usme;Intrafamiliar;Mujer;2215.0;215866;1026.1
2014;tunjuelito;Intrafamiliar;Mujer;531.0;101314;524.1
2014;bosa;Intrafamiliar;Mujer;3561.0;321466;1107.7
2014;kennedy;Intrafamiliar;Mujer;2362.0;540134;437.3
2014;fontibon;Intrafamiliar;Mujer;947.0;195308;484.9
2014;engativa;Intrafamiliar;Mujer;1693.0;452053;374.5
2014;suba;Intrafamiliar;Mujer;2210.0;602531;366.8
2014;barrios unidos;Intrafamiliar;Mujer;436.0;123939;351.8
2014;teusaquillo;Intrafamiliar;Mujer;136.0;80340;169.3
2014;los martires;Intrafamiliar;Mujer;315.0;48925;643.8
2014;antonio narino;Intrafamiliar;Mujer;278.0;55855;497.7
2014;puente aranda;Intrafamiliar;Mujer;437.0;131737;331.7
2014;la candelaria;Intrafamiliar;Mujer;69.0;11356;607.6
2014;rafael uribe uribe;Intrafamiliar;Mujer;1250.0;191162;653.9
2014;ciudad bolivar;Intrafamiliar;Mujer;2130.0;344806;617.7
2014;sumapaz;Intrafamiliar;Mujer;103.0;3078;3346.3
2014;distrito;Intrafamiliar;Mujer;23311.0;4018621;580.1
2015;usaquen;Intrafamiliar;Mujer;1906.0;264972;719.3
2015;chapinero;Intrafamiliar;Mujer;263.0;73185;359.4
2015;santa fe;Intrafamiliar;Mujer;460.0;54564;843.0
2015;san cristobal;Intrafamiliar;Mujer;2028.0;207629;976.7
2015;usme;Intrafamiliar;Mujer;2149.0;218685;982.7
2015;tunjuelito;Intrafamiliar;Mujer;453.0;100779;449.5
2015;bosa;Intrafamiliar;Mujer;3681.0;330490;1113.8
2015;kennedy;Intrafamiliar;Mujer;2756.0;547703;503.2
2015;fontibon;Intrafamiliar;Mujer;910.0;200279;454.4
2015;engativa;Intrafamiliar;Mujer;1634.0;455865;358.4
2015;suba;Intrafamiliar;Mujer;2350.0;617148;380.8
2015;barrios unidos;Intrafamiliar;Mujer;400.0;125105;319.7
2015;teusaquillo;Intrafamiliar;Mujer;192.0;80595;238.2
2015;los martires;Intrafamiliar;Mujer;385.0;48918;787.0
2015;antonio narino;Intrafamiliar;Mujer;248.0;55838;444.1
2015;puente aranda;Intrafamiliar;Mujer;538.0;131210;410.0
2015;la candelaria;Intrafamiliar;Mujer;96.0;11297;849.8
2015;rafael uribe uribe;Intrafamiliar;Mujer;1513.0;190270;795.2
2015;ciudad bolivar;Intrafamiliar;Mujer;2961.0;351127;843.3
2015;sumapaz;Intrafamiliar;Mujer;119.0;3111;3825.1
2015;distrito;Intrafamiliar;Mujer;25042.0;4068770;615.5
2016;usaquen;Intrafamiliar;Mujer;1632.0;253449;643.9
2016;chapinero;Intrafamiliar;Mujer;185.0;66449;278.4
2016;santa fe;Intrafamiliar;Mujer;381.0;47832;796.5
2016;san cristobal;Intrafamiliar;Mujer;1427.0;203869;700.0
2016;usme;Intrafamiliar;Mujer;1763.0;172215;1023.7
2016;tunjuelito;Intrafamiliar;Mujer;396.0;95683;413.9
2016;bosa;Intrafamiliar;Mujer;3187.0;363363;877.1
2016;kennedy;Intrafamiliar;Mujer;2524.0;608338;414.9
2016;fontibon;Intrafamiliar;Mujer;889.0;213035;417.3
2016;engativa;Intrafamiliar;Mujer;1401.0;453981;308.6
2016;suba;Intrafamiliar;Mujer;2045.0;655577;311.9
2016;barrios unidos;Intrafamiliar;Mujer;317.0;131616;240.9
2016;teusaquillo;Intrafamiliar;Mujer;180.0;74145;242.8
2016;los martires;Intrafamiliar;Mujer;292.0;46543;627.4
2016;antonio narino;Intrafamiliar;Mujer;195.0;55664;350.3
2016;puente aranda;Intrafamiliar;Mujer;496.0;113322;437.7
2016;la candelaria;Intrafamiliar;Mujer;78.0;10516;741.7
2016;rafael uribe uribe;Intrafamiliar;Mujer;1340.0;180846;741.0
2016;ciudad bolivar;Intrafamiliar;Mujer;3269.0;368367;887.4
2016;sumapaz;Intrafamiliar;Mujer;69.0;3565;1935.5
2016;distrito;Intrafamiliar;Mujer;22078.0;4118375;536.1
2017;usaquen;Intrafamiliar;Mujer;1355.0;253926;533.6
2017;chapinero;Intrafamiliar;Mujer;253.0;66033;383.1
2017;santa fe;Intrafamiliar;Mujer;444.0;47135;942.0
2017;san cristobal;Intrafamiliar;Mujer;1362.0;202823;671.5
2017;usme;Intrafamiliar;Mujer;1585.0;173754;912.2
2017;tunjuelito;Intrafamiliar;Mujer;591.0;94819;623.3
2017;bosa;Intrafamiliar;Mujer;2323.0;374723;619.9
2017;kennedy;Intrafamiliar;Mujer;2025.0;619048;327.1
2017;fontibon;Intrafamiliar;Mujer;704.0;218479;322.2
2017;engativa;Intrafamiliar;Mujer;1503.0;456270;329.4
2017;suba;Intrafamiliar;Mujer;1883.0;671995;280.2
2017;barrios unidos;Intrafamiliar;Mujer;277.0;132736;208.7
2017;teusaquillo;Intrafamiliar;Mujer;167.0;73810;226.3
2017;los martires;Intrafamiliar;Mujer;351.0;46240;759.1
2017;antonio narino;Intrafamiliar;Mujer;219.0;55552;394.2
2017;puente aranda;Intrafamiliar;Mujer;466.0;111422;418.2
2017;la candelaria;Intrafamiliar;Mujer;74.0;10393;712.0
2017;rafael uribe uribe;Intrafamiliar;Mujer;1333.0;179322;743.4
2017;ciudad bolivar;Intrafamiliar;Mujer;3317.0;375711;882.9
2017;sumapaz;Intrafamiliar;Mujer;37.0;3630;1019.3
2017;distrito;Intrafamiliar;Mujer;20280.0;4167821;486.6
2018;usaquen;Intrafamiliar;Mujer;966.0;254310;379.9
2018;chapinero;Intrafamiliar;Mujer;294.0;65600;448.2
2018;santa fe;Intrafamiliar;Mujer;524.0;46438;1128.4
2018;san cristobal;Intrafamiliar;Mujer;1544.0;201727;765.4
2018;usme;Intrafamiliar;Mujer;1713.0;175249;977.5
2018;tunjuelito;Intrafamiliar;Mujer;558.0;93941;594.0
2018;bosa;Intrafamiliar;Mujer;2561.0;386336;662.9
2018;kennedy;Intrafamiliar;Mujer;2363.0;629715;375.2
2018;fontibon;Intrafamiliar;Mujer;653.0;223980;291.5
2018;engativa;Intrafamiliar;Mujer;1519.0;458421;331.4
2018;suba;Intrafamiliar;Mujer;2314.0;688555;336.1
2018;barrios unidos;Intrafamiliar;Mujer;297.0;133823;221.9
2018;teusaquillo;Intrafamiliar;Mujer;252.0;73454;343.1
2018;los martires;Intrafamiliar;Mujer;381.0;45901;830.0
2018;antonio narino;Intrafamiliar;Mujer;250.0;55427;451.0
2018;puente aranda;Intrafamiliar;Mujer;515.0;109526;470.2
2018;la candelaria;Intrafamiliar;Mujer;85.0;10270;827.7
2018;rafael uribe uribe;Intrafamiliar;Mujer;1532.0;177753;861.9
2018;ciudad bolivar;Intrafamiliar;Mujer;3403.0;383066;888.4
2018;sumapaz;Intrafamiliar;Mujer;71.0;3706;1915.8
2018;distrito;Intrafamiliar;Mujer;21830.0;4217198;517.6
2019;usaquen;Intrafamiliar;Mujer;782.0;254608;307.1
2019;chapinero;Intrafamiliar;Mujer;272.0;65158;417.4
2019;santa fe;Intrafamiliar;Mujer;572.0;45727;1250.9
2019;san cristobal;Intrafamiliar;Mujer;1957.0;200567;975.7
2019;usme;Intrafamiliar;Mujer;1723.0;176700;975.1
2019;tunjuelito;Intrafamiliar;Mujer;645.0;93048;693.2
2019;bosa;Intrafamiliar;Mujer;3117.0;398177;782.8
2019;kennedy;Intrafamiliar;Mujer;3027.0;640355;472.7
2019;fontibon;Intrafamiliar;Mujer;721.0;229543;314.1
2019;engativa;Intrafamiliar;Mujer;1586.0;460416;344.5
2019;suba;Intrafamiliar;Mujer;2086.0;705329;295.7
2019;barrios unidos;Intrafamiliar;Mujer;239.0;134893;177.2
2019;teusaquillo;Intrafamiliar;Mujer;302.0;73092;413.2
2019;los martires;Intrafamiliar;Mujer;470.0;45566;1031.5
2019;antonio narino;Intrafamiliar;Mujer;307.0;55281;555.3
2019;puente aranda;Intrafamiliar;Mujer;667.0;107629;619.7
2019;la candelaria;Intrafamiliar;Mujer;91.0;10150;896.6
2019;rafael uribe uribe;Intrafamiliar;Mujer;1702.0;176132;966.3
2019;ciudad bolivar;Intrafamiliar;Mujer;3125.0;390452;800.4
2019;sumapaz;Intrafamiliar;Mujer;38.0;3772;1007.4
2019;distrito;Intrafamiliar;Mujer;23429.0;4266595;549.1
2020;usaquen;Intrafamiliar;Mujer;678.0;254841;266.0
2020;chapinero;Intrafamiliar;Mujer;173.0;64711;267.3
2020;santa fe;Intrafamiliar;Mujer;404.0;45019;897.4
2020;san cristobal;Intrafamiliar;Mujer;1196.0;199363;599.9
2020;usme;Intrafamiliar;Mujer;1540.0;178104;864.7
2020;tunjuelito;Intrafamiliar;Mujer;589.0;92144;639.2
2020;bosa;Intrafamiliar;Mujer;2648.0;410260;645.4
2020;kennedy;Intrafamiliar;Mujer;2605.0;650969;400.2
2020;fontibon;Intrafamiliar;Mujer;719.0;235174;305.7
2020;engativa;Intrafamiliar;Mujer;1239.0;462301;268.0
2020;suba;Intrafamiliar;Mujer;1850.0;722309;256.1
2020;barrios unidos;Intrafamiliar;Mujer;222.0;135929;163.3
2020;teusaquillo;Intrafamiliar;Mujer;227.0;72718;312.2
2020;los martires;Intrafamiliar;Mujer;279.0;45219;617.0
2020;antonio narino;Intrafamiliar;Mujer;211.0;55133;382.7
2020;puente aranda;Intrafamiliar;Mujer;516.0;105742;488.0
2020;la candelaria;Intrafamiliar;Mujer;60.0;10021;598.7
2020;rafael uribe uribe;Intrafamiliar;Mujer;1101.0;174494;631.0
2020;ciudad bolivar;Intrafamiliar;Mujer;2621.0;397847;658.8
2020;sumapaz;Intrafamiliar;Mujer;59.0;3844;1534.9
2020;distrito;Intrafamiliar;Mujer;18938.0;4316142;438.8
2012;usaquen;Intrafamiliar;Hombre;778.0;222331;349.9
2012;chapinero;Intrafamiliar;Hombre;76.0;62795;121.0
2012;santa fe;Intrafamiliar;Hombre;201.0;55153;364.4
2012;san cristobal;Intrafamiliar;Hombre;737.0;199566;369.3
2012;usme;Intrafamiliar;Hombre;820.0;197911;414.3
2012;tunjuelito;Intrafamiliar;Hombre;204.0;99557;204.9
2012;bosa;Intrafamiliar;Hombre;1621.0;292176;554.8
2012;kennedy;Intrafamiliar;Hombre;903.0;502287;179.8
2012;fontibon;Intrafamiliar;Hombre;335.0;167533;200.0
2012;engativa;Intrafamiliar;Hombre;1103.0;406597;271.3
2012;suba;Intrafamiliar;Hombre;944.0;518960;181.9
2012;barrios unidos;Intrafamiliar;Hombre;116.0;112703;102.9
2012;teusaquillo;Intrafamiliar;Hombre;57.0;68544;83.2
2012;los martires;Intrafamiliar;Hombre;156.0;49277;316.6
2012;antonio narino;Intrafamiliar;Hombre;91.0;52580;173.1
2012;puente aranda;Intrafamiliar;Hombre;233.0;125944;185.0
2012;la candelaria;Intrafamiliar;Hombre;30.0;12726;235.7
2012;rafael uribe uribe;Intrafamiliar;Hombre;600.0;184951;324.4
2012;ciudad bolivar;Intrafamiliar;Hombre;1142.0;319009;358.0
2012;sumapaz;Intrafamiliar;Hombre;67.0;3268;2050.2
2012;distrito;Intrafamiliar;Hombre;10410.0;3653868;284.9
2013;usaquen;Intrafamiliar;Hombre;989.0;224799;439.9
2013;chapinero;Intrafamiliar;Hombre;73.0;63525;114.9
2013;santa fe;Intrafamiliar;Hombre;147.0;55182;266.4
2013;san cristobal;Intrafamiliar;Hombre;874.0;199306;438.5
2013;usme;Intrafamiliar;Hombre;883.0;205586;429.5
2013;tunjuelito;Intrafamiliar;Hombre;230.0;99504;231.1
2013;bosa;Intrafamiliar;Hombre;1588.0;299608;530.0
2013;kennedy;Intrafamiliar;Hombre;757.0;508288;148.9
2013;fontibon;Intrafamiliar;Hombre;290.0;171480;169.1
2013;engativa;Intrafamiliar;Hombre;1064.0;410586;259.1
2013;suba;Intrafamiliar;Hombre;857.0;531612;161.2
2013;barrios unidos;Intrafamiliar;Hombre;147.0;113426;129.6
2013;teusaquillo;Intrafamiliar;Hombre;57.0;69240;82.3
2013;los martires;Intrafamiliar;Hombre;128.0;49520;258.5
